d,dK,hK,fu,rK,mb
3741,3741,2,12760*u - 780449,14.2607718546332,1/2*sqrt(3741)
3742,14968,1,459657602662577172746685648787032*u + 28118123833697896867864567137866303,80.0148695940835,sqrt(3742)
3743,14972,2,-16100*u - 984999,14.4935430854850,sqrt(3743)
3745,3745,2,-1615843386061857684*u + 98883806469047483561,46.7336243432651,1/2*sqrt(3745)
3746,14984,2,905791538*u - 55438586115,25.4316888690866,sqrt(3746)
3747,14988,4,45073*u - 2759042,15.5235412565503,sqrt(3747)
3749,3749,1,-741820227/2*u + 45420968585/2,24.5392396984735,1/2*sqrt(3749)
3754,15016,2,98859201191538868938108851713*u + 6057092849915730580682318057715,71.5719299276197,sqrt(3754)
3755,15020,2,-15765716*u + 966092409,21.3819172296522,sqrt(3755)
3758,15032,1,-101584899379076*u + 6227411188946703,37.0608842824146,sqrt(3758)
3759,15036,4,-216815*u + 13293076,17.0959010366882,sqrt(3759)
3761,3761,1,228613524700100709768148745*u - 14020179897729457418584112032,65.5034424044304,1/2*sqrt(3761)
3763,15052,2,1321872098013832935*u + 81087991768933910974,46.5352137376436,sqrt(3763)
3765,3765,2,495/2*u - 30373/2,10.3213093337697,1/2*sqrt(3765)
3766,15064,2,-7087207887002656054605441270*u + 434925959073622013220186354299,68.9381204989745,sqrt(3766)
3767,15068,1,335896079139739969462165*u - 20615921151433517021112024,58.9812530611301,sqrt(3767)
3769,3769,1,517051153198032838369737780930235336285*u - 31742898455296319810461261444676464969032,93.9516348369491,1/2*sqrt(3769)
3770,15080,8,-5*u - 307,6.41999758068463,sqrt(3770)
3774,15096,4,2107067220*u - 129443229199,26.2796554179636,sqrt(3774)
3777,3777,1,-232091286666140074103868*u + 14263704354519650311173143,58.6129075660749,1/2*sqrt(3777)
3778,15112,4,2894346*u + 177902243,19.6898919413234,sqrt(3778)
3779,15116,1,108020144228046897009*u + 6640384065823496752010,50.9406039364890,sqrt(3779)
3781,3781,1,475656797730780*u - 29248058750439799,38.6077367794397,1/2*sqrt(3781)
3782,15128,10,2*u + 123,5.50531501096727,sqrt(3782)
3783,15132,4,164*u - 10087,9.91214992315772,sqrt(3783)
3785,3785,2,-21273853*u + 1308817508,21.6855370814226,1/2*sqrt(3785)
3786,15144,2,2623160063250*u - 161404298468749,33.4080806843659,sqrt(3786)
3787,15148,2,-10126239752578844520*u - 623154676056950901151,48.5744736185997,sqrt(3787)
3790,15160,2,-39771045637353030*u - 2448423923552680501,43.0351233754963,sqrt(3790)
3791,15164,4,3017*u - 185760,12.8253579774844,sqrt(3791)
3793,3793,1,10818642909512645144987707179617*u - 666291399833930351806092646017876,76.2724270825184,1/2*sqrt(3793)
3794,15176,4,-220*u + 13551,10.2073628035212,sqrt(3794)
3795,15180,8,-280*u - 17249,10.4486566294843,sqrt(3795)
3797,3797,1,505*u - 31118,11.0386888896930,1/2*sqrt(3797)
3799,15196,2,-2083093324163219614788099*u - 128393599339926760929562900,60.8102899530529,sqrt(3799)
3801,3801,2,-16974245552268*u + 1046500439977495,35.2773752588021,1/2*sqrt(3801)
3802,15208,2,-5602361167841*u + 345443606671269,34.1689977040043,sqrt(3802)
3803,15212,3,-555*u - 34226,11.1338880484839,sqrt(3803)
3805,3805,4,-111/2*u + 6847/2,8.83156585779065,1/2*sqrt(3805)
3806,15224,2,-15904860498*u + 981215175115,28.3052047956445,sqrt(3806)
3809,3809,2,-12804409669817*u + 790250987177140,34.9965188967794,1/2*sqrt(3809)
3810,15240,4,10676986*u + 659039069,20.9994405565502,sqrt(3810)
3811,15244,14,15*u - 926,7.52402112365265,sqrt(3811)
3813,3813,2,4*u - 247,6.20253141940667,1/2*sqrt(3813)
3814,15256,5,-67254*u + 4153445,15.9325958488893,sqrt(3814)
3815,15260,4,-1020*u + 63001,11.7440530587605,sqrt(3815)
3817,3817,1,-79065042288561846375583477384310628*u + 4884786509301654524448078948960189527,85.1723361095694,1/2*sqrt(3817)
3818,15272,2,-546766*u + 33784653,18.0286643846454,sqrt(3818)
3819,15276,8,515*u + 31826,11.0611860250833,sqrt(3819)
3821,3821,1,61355941*u - 3792670730,22.7494834665319,1/2*sqrt(3821)
3823,15292,1,11070216778695248339422640601826616728595751*u + 684476077955168625355292470941720998874596768,103.930374782225,sqrt(3823)
3826,15304,2,-6715122267538570175204725387332*u - 415361660968051702458738431977745,75.7998495833127,sqrt(3826)
3827,15308,2,160905*u - 9954026,16.8066348309724,sqrt(3827)
3829,3829,1,3343870291533243/2*u - 206915062255859225/2,39.8710847767024,1/2*sqrt(3829)
3830,15320,2,-5445090*u + 336980251,20.3286820647855,sqrt(3830)
3831,15324,2,-111495160732553879885*u + 6901001057138494045324,50.9791006152596,sqrt(3831)
3833,3833,1,4223912591310181093*u - 261507610291587813796,47.7061422399878,1/2*sqrt(3833)
3835,15340,4,-396843*u + 24575446,17.7104055529177,sqrt(3835)
